Enviado,Negocio,Rubro,Zona,Contacto (nombre),Canal,Link Google/IG,Fecha envio,Respondio,Llamada agendada,Preview enviada,Cerrado,Monto,Notas
FALSE,,Plomeria,,,WhatsApp,,,,,,,,
FALSE,,Brunch/Cafeteria,,,Instagram,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,
